Timestamp,Current Position,Firm Name,Commercial or Federal Practice,Title Position,Country,Base Salary (USD),Estimated Annual Bonus (USD),Expected total compensation,Average hours per week of work,Received offer from other company this year
9/29/2021 12:14:32,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,91000,0,91000,50-59,No
10/1/2021 6:31:26,Yes,Other or Boutique,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,90000,1000,91000,50-59,Yes
9/29/2021 11:52:17,Yes,EY,Commercial/non-federal Practice,Analyst,United States of America,89000,2160,91160,<40,No
9/30/2021 7:26:30,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,86700,5000,91700,40-49,Yes
9/30/2021 22:34:03,Yes,Booz Allen Hamilton,Federal/government Practice,Senior Consultant/Senior Associate,United States of America,82416,9350,91766,50-59,Yes
9/29/2021 13:31:50,Yes,Booz Allen Hamilton,Federal/government Practice,Consultant/Associate,United States of America,89800,2000,91800,40-49,No
9/29/2021 14:32:20,Yes,FTI,Not Applicable or Don't Know,Analyst,United States of America,80000,12000,92000,<40,No
9/29/2021 15:49:36,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,80000,12000,92000,50-59,Yes
9/29/2021 17:30:32,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,80000,12000,92000,40-49,No
9/29/2021 12:11:00,Yes,EY,Commercial/non-federal Practice,Analyst,United States of America,84000,8000,92000,40-49,No
10/1/2021 21:46:26,Yes,Other or Boutique,Not Applicable or Don't Know,Analyst,United States of America,92000,0,92000,60-69,Yes
9/29/2021 12:05:22,Yes,Guidehouse/Navigant,Commercial/non-federal Practice,Consultant/Associate,United States of America,75000,17000,92000,50-59,No
9/29/2021 16:37:55,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,77000,15000,92000,50-59,No
9/30/2021 0:44:19,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,80000,12000,92000,50-59,No
9/29/2021 14:31:32,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,82000,10000,92000,40-49,No
9/29/2021 20:29:33,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,86000,6000,92000,40-49,No
9/29/2021 21:18:48,Yes,Other or Boutique,Federal/government Practice,Consultant/Associate,United States of America,87000,5000,92000,40-49,No
9/29/2021 23:50:22,Yes,Deloitte,Commercial/non-federal Practice,Consultant/Associate,United States of America,89000,3000,92000,60-69,No
9/29/2021 16:08:52,Yes,Accenture,Federal/government Practice,Consultant/Associate,United States of America,90000,2000,92000,40-49,No
9/30/2021 9:08:59,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,90000,2000,92000,40-49,No
9/30/2021 6:58:11,Yes,PwC,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,82000,10000,92000,50-59,No
10/1/2021 10:37:45,Yes,Protiviti,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,82000,10000,92000,40-49,No
10/1/2021 9:43:52,Yes,Other or Boutique,Federal/government Practice,Senior Consultant/Senior Associate,United States of America,90000,2000,92000,40-49,No
10/1/2021 11:42:40,Yes,Other or Boutique,Federal/government Practice,Senior Consultant/Senior Associate,United States of America,92000,0,92000,40-49,Yes
10/2/2021 0:23:20,Yes,Other or Boutique,Federal/government Practice,Senior Consultant/Senior Associate,United States of America,92000,0,92000,50-59,No
10/5/2021 8:53:14,Yes,Protiviti,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,84000,8400,92400,40-49,No
9/29/2021 15:18:34,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,80000,12500,92500,40-49,No
9/30/2021 8:34:47,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,80000,12500,92500,40-49,No
9/30/2021 9:49:49,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,80000,12500,92500,40-49,No
10/1/2021 9:45:31,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,80000,12500,92500,40-49,No
10/1/2021 13:04:27,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,80000,12500,92500,40-49,No
10/2/2021 2:29:05,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,80000,12500,92500,50-59,No
9/29/2021 10:52:55,Yes,KPMG,Commercial/non-federal Practice,Analyst,United States of America,87500,5000,92500,40-49,Yes
9/30/2021 13:35:45,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,82500,10000,92500,40-49,No
10/5/2021 9:43:32,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,83400,9100,92500,40-49,No
9/29/2021 16:23:37,Yes,EY,Commercial/non-federal Practice,Consultant/Associate,United States of America,85000,7500,92500,50-59,Yes
9/30/2021 20:04:57,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,85500,7000,92500,40-49,No
9/29/2021 11:53:27,Yes,Other or Boutique,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,82747,10000,92747,40-49,No
10/18/2021 14:08:39,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,80000,12750,92750,60-69,No
9/29/2021 12:25:56,Yes,PwC,Commercial/non-federal Practice,Analyst,United States of America,78000,15000,93000,40-49,No
9/30/2021 9:25:53,Yes,Accenture,Commercial/non-federal Practice,Analyst,United States of America,90000,3000,93000,40-49,No
9/29/2021 15:02:39,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,78000,15000,93000,50-59,No
10/5/2021 9:22:40,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,85000,8000,93000,40-49,No
10/1/2021 12:57:14,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,88000,5000,93000,50-59,No
9/29/2021 11:06:38,Yes,Deloitte,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,80000,13000,93000,40-49,No
10/1/2021 12:17:32,Yes,Guidehouse/Navigant,Federal/government Practice,Senior Consultant/Senior Associate,United States of America,85000,8000,93000,50-59,Yes
10/1/2021 9:39:03,Yes,Capgemini,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,88000,5000,93000,40-49,Yes
9/29/2021 23:13:54,Yes,EY,Not Applicable or Don't Know,Senior Consultant/Senior Associate,United States of America,90000,3000,93000,50-59,Yes
10/1/2021 8:23:11,Yes,Booz Allen Hamilton,Federal/government Practice,Senior Consultant/Senior Associate,United States of America,93000,0,93000,40-49,No
9/29/2021 16:34:58,No,,,,United States of America,85000,8000,93000,40-49,No
9/29/2021 22:38:21,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,90000,3200,93200,50-59,No
10/1/2021 2:18:31,Yes,Deloitte,Commercial/non-federal Practice,Consultant/Associate,United States of America,92400,1000,93400,60-69,No
9/29/2021 18:16:49,Yes,Deloitte,Not Applicable or Don't Know,Analyst,United States of America,80000,13500,93500,50-59,No
10/1/2021 10:04:48,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,85000,8500,93500,40-49,No
10/1/2021 19:05:37,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,85500,8000,93500,50-59,Yes
9/29/2021 12:47:04,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,78000,15600,93600,40-49,Yes
9/29/2021 12:47:05,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,78000,15600,93600,40-49,Yes
10/7/2021 12:04:13,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,87900,5700,93600,40-49,No
9/29/2021 12:27:15,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,88000,5600,93600,40-49,Yes
9/30/2021 0:42:37,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,88000,5600,93600,60-69,Yes
9/29/2021 12:29:44,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,78000,16000,94000,50-59,No
9/29/2021 21:31:08,Yes,Alvarez & Marsal,Commercial/non-federal Practice,Consultant/Associate,United States of America,74000,20000,94000,40-49,Yes
10/1/2021 14:24:50,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,82000,12000,94000,50-59,No
9/30/2021 0:13:00,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,86000,8000,94000,40-49,No
9/29/2021 17:11:58,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,88000,6000,94000,40-49,No
9/29/2021 22:06:38,Yes,KPMG,Commercial/non-federal Practice,Consultant/Associate,United States of America,90000,4000,94000,40-49,No
9/30/2021 1:10:12,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,90000,4000,94000,40-49,No
10/1/2021 10:08:17,Yes,Capco,Commercial/non-federal Practice,Consultant/Associate,United States of America,90000,4000,94000,<40,No
9/30/2021 8:51:36,Yes,Other or Boutique,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,89000,5000,94000,40-49,No
9/29/2021 11:48:20,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,82000,12300,94300,40-49,No
9/30/2021 2:57:29,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,90000,4300,94300,50-59,No
9/30/2021 8:38:52,Yes,Deloitte,Federal/government Practice,Senior Consultant/Senior Associate,United States of America,89950,4500,94450,50-59,Yes
10/1/2021 14:33:41,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,87000,7500,94500,50-59,No
9/30/2021 14:52:31,Yes,KPMG,Commercial/non-federal Practice,Consultant/Associate,United States of America,90000,4500,94500,50-59,No
10/2/2021 1:06:57,Yes,Deloitte,Commercial/non-federal Practice,"Managing Director, Principal, Partner, or C-suite",United States of America,80000,14500,94500,50-59,No
9/29/2021 17:56:52,Yes,EY,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,92678,1850,94528,<40,No
9/30/2021 16:44:37,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,86000,8600,94600,<40,No
9/29/2021 12:00:39,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,65000,30000,95000,70-79,Yes
9/29/2021 17:59:14,Yes,Accenture,Commercial/non-federal Practice,Analyst,United States of America,80000,15000,95000,50-59,No
9/30/2021 8:44:23,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,80000,15000,95000,50-59,No
9/30/2021 10:27:16,Yes,Accenture,Commercial/non-federal Practice,Analyst,United States of America,80000,15000,95000,50-59,No
9/30/2021 18:25:46,Yes,Accenture,Federal/government Practice,Analyst,United States of America,80000,15000,95000,50-59,No
10/1/2021 16:51:35,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,80000,15000,95000,40-49,No
9/29/2021 11:56:27,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,82500,12500,95000,50-59,No
9/29/2021 18:19:17,Yes,IBM,Commercial/non-federal Practice,Analyst,United States of America,84000,11000,95000,50-59,No
9/29/2021 13:05:54,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,85000,10000,95000,40-49,No
9/29/2021 16:11:21,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,85000,10000,95000,40-49,No
9/30/2021 8:59:27,Yes,Accenture,Commercial/non-federal Practice,Analyst,United States of America,85000,10000,95000,40-49,No
9/29/2021 17:26:42,Yes,Other or Boutique,Not Applicable or Don't Know,Analyst,United States of America,90000,5000,95000,40-49,Yes
9/30/2021 20:20:40,Yes,Accenture,Commercial/non-federal Practice,Analyst,United States of America,90000,5000,95000,50-59,No
10/13/2021 13:40:46,Yes,PwC,Commercial/non-federal Practice,Analyst,United States of America,90000,5000,95000,50-59,No
9/29/2021 12:20:38,Yes,Cognizant,Commercial/non-federal Practice,Consultant/Associate,United States of America,75000,20000,95000,40-49,Yes
9/29/2021 11:50:46,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,80000,15000,95000,40-49,No
9/29/2021 10:59:17,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,85000,10000,95000,60-69,No
9/29/2021 12:18:06,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,85000,10000,95000,<40,No
9/29/2021 13:30:13,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,85000,10000,95000,40-49,No
9/29/2021 15:29:46,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,88000,7000,95000,40-49,Yes
9/29/2021 16:22:20,Yes,Deloitte,Commercial/non-federal Practice,Consultant/Associate,United States of America,88000,7000,95000,50-59,No
9/29/2021 22:21:23,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,88000,7000,95000,40-49,No
9/29/2021 12:20:35,Yes,Other or Boutique,Federal/government Practice,Consultant/Associate,United States of America,90000,5000,95000,40-49,Yes
10/6/2021 0:10:50,Yes,Oliver Wyman,Commercial/non-federal Practice,Consultant/Associate,United States of America,90000,5000,95000,50-59,No
9/29/2021 13:48:39,Yes,EY,Commercial/non-federal Practice,Consultant/Associate,United States of America,93000,2000,95000,40-49,No
10/2/2021 0:10:44,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,95000,0,95000,50-59,No
9/29/2021 10:44:46,Yes,Deloitte,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,80000,15000,95000,50-59,Yes
10/1/2021 12:38:12,Yes,Other or Boutique,Not Applicable or Don't Know,Senior Consultant/Senior Associate,United States of America,85000,10000,95000,40-49,No
9/29/2021 20:26:28,Yes,KPMG,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,92000,3000,95000,50-59,No
10/1/2021 13:48:26,Yes,FTI,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,92000,3000,95000,40-49,Yes
10/1/2021 14:52:33,Yes,Deloitte,Federal/government Practice,Senior Consultant/Senior Associate,United States of America,94000,1000,95000,50-59,No
9/29/2021 18:10:44,No,,,,United States of America,95000,0,95000,60-69,Yes
9/29/2021 18:21:18,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,85500,10000,95500,70-79,Yes
9/30/2021 21:06:50,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,87500,8000,95500,50-59,No
10/1/2021 18:24:59,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,90500,5000,95500,40-49,No
10/1/2021 23:03:29,Yes,Other or Boutique,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,88600,6900,95500,60-69,No
10/5/2021 23:17:24,Yes,Accenture,Commercial/non-federal Practice,Analyst,United States of America,77000,18530,95530,60-69,No
9/30/2021 18:49:13,Yes,Deloitte,Commercial/non-federal Practice,Consultant/Associate,United States of America,92600,3000,95600,50-59,No
9/29/2021 19:49:23,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,92700,3000,95700,40-49,No
9/30/2021 10:34:20,Yes,Deloitte,Commercial/non-federal Practice,Consultant/Associate,United States of America,92900,3000,95900,40-49,No
9/30/2021 16:20:19,Yes,PwC,Commercial/non-federal Practice,Analyst,United States of America,90000,6000,96000,40-49,Yes
9/30/2021 16:20:21,Yes,PwC,Commercial/non-federal Practice,Analyst,United States of America,90000,6000,96000,40-49,Yes
9/29/2021 14:29:18,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,80000,16000,96000,40-49,No
9/29/2021 11:20:07,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,88000,8000,96000,40-49,No
9/29/2021 13:53:48,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,91000,5000,96000,50-59,No
10/1/2021 11:15:58,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,91000,5000,96000,40-49,No
9/29/2021 23:15:06,Yes,Deloitte,Commercial/non-federal Practice,Consultant/Associate,United States of America,92000,4000,96000,40-49,No
9/29/2021 23:53:57,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,92000,4000,96000,40-49,No
9/29/2021 15:33:33,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,96000,0,96000,40-49,No
9/29/2021 12:46:35,Yes,IBM,Federal/government Practice,Senior Consultant/Senior Associate,United States of America,95000,1000,96000,40-49,No
9/30/2021 16:29:23,Yes,Other or Boutique,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,96000,0,96000,40-49,No
10/1/2021 10:02:32,Yes,Booz Allen Hamilton,Federal/government Practice,Senior Consultant/Senior Associate,United States of America,96000,0,96000,40-49,No
9/29/2021 21:46:50,Yes,Deloitte,Federal/government Practice,Senior Consultant/Senior Associate,United States of America,96000,15,96015,40-49,No
10/5/2021 17:03:50,Yes,Accenture,Commercial/non-federal Practice,Analyst,United States of America,82500,14000,96500,40-49,No
9/30/2021 17:18:55,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,82900,14000,96900,50-59,No
9/29/2021 14:37:36,Yes,Accenture,Commercial/non-federal Practice,Analyst,United States of America,82000,15000,97000,40-49,No
9/29/2021 10:37:20,Yes,Other or Boutique,Not Applicable or Don't Know,Consultant/Associate,United States of America,85000,12000,97000,40-49,Yes
9/29/2021 16:24:40,Yes,Deloitte,Commercial/non-federal Practice,Consultant/Associate,United States of America,90000,7000,97000,50-59,No
9/29/2021 11:19:23,Yes,KPMG,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,90000,7000,97000,40-49,Yes
9/29/2021 20:54:16,Yes,KPMG,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,92000,5000,97000,50-59,Yes
10/1/2021 9:33:41,Yes,IBM,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,97000,0,97000,<40,Yes
9/29/2021 16:22:39,Yes,Deloitte,Commercial/non-federal Practice,Consultant/Associate,United States of America,90200,7000,97200,50-59,No
9/29/2021 14:39:18,Yes,Other or Boutique,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,90000,7200,97200,40-49,Yes
9/29/2021 12:22:58,Yes,Grant Thornton,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,91400,6000,97400,40-49,No
10/5/2021 9:39:04,Yes,Accenture,Commercial/non-federal Practice,Analyst,United States of America,87500,10000,97500,50-59,No
9/29/2021 10:51:46,Yes,Accenture,Commercial/non-federal Practice,Analyst,United States of America,88500,9000,97500,50-59,No
10/1/2021 21:50:26,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,84000,13500,97500,40-49,No
9/29/2021 11:40:38,Yes,Roland Berger,Commercial/non-federal Practice,Consultant/Associate,United States of America,87500,10000,97500,Not applicable/not currently working,No
9/30/2021 0:36:50,Yes,EY,Commercial/non-federal Practice,Analyst,United States of America,88000,10000,98000,50-59,No
10/5/2021 17:56:40,Yes,Accenture,Commercial/non-federal Practice,Analyst,United States of America,88000,10000,98000,60-69,No
9/29/2021 10:49:34,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,95000,3000,98000,40-49,No
9/29/2021 16:17:18,Yes,Accenture,Commercial/non-federal Practice,Consultant/Associate,United States of America,95000,3000,98000,50-59,Yes
9/29/2021 15:58:31,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,98000,0,98000,40-49,No
9/30/2021 9:37:14,Yes,Deloitte,Not Applicable or Don't Know,Senior Consultant/Senior Associate,United States of America,88000,10000,98000,40-49,No
9/29/2021 11:55:52,Yes,EY,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,90000,8000,98000,40-49,No
9/29/2021 13:23:42,Yes,EY,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,93000,5000,98000,40-49,No
9/29/2021 15:38:19,Yes,RSM,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,93000,5000,98000,50-59,Yes
9/30/2021 13:38:55,Yes,Guidehouse/Navigant,Federal/government Practice,Senior Consultant/Senior Associate,United States of America,95000,3000,98000,40-49,Yes
9/30/2021 11:09:24,No,,,,United States of America,92000,6000,98000,50-59,No
9/30/2021 15:37:25,Yes,EY,Commercial/non-federal Practice,Consultant/Associate,United States of America,95100,3000,98100,40-49,No
9/29/2021 11:14:44,Yes,PwC,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,94100,4100,98200,60-69,No
9/30/2021 2:47:43,Yes,Protiviti,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,89500,8750,98250,40-49,No
9/29/2021 11:46:07,Yes,EY,Federal/government Practice,Senior Consultant/Senior Associate,United States of America,92400,6000,98400,40-49,No
9/30/2021 0:49:40,Yes,Accenture,Commercial/non-federal Practice,Consultant/Associate,United States of America,96500,2000,98500,40-49,No
10/1/2021 9:59:20,Yes,EY,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,93500,5000,98500,40-49,No
10/5/2021 13:20:09,Yes,RSM,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,94500,4000,98500,60-69,No
9/30/2021 8:26:21,Yes,McKinsey,Not Applicable or Don't Know,Analyst,United States of America,90000,8800,98800,60-69,No
10/12/2021 22:10:20,Yes,EY,Not Applicable or Don't Know,Analyst,United States of America,95000,4000,99000,40-49,No
9/30/2021 22:12:47,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,89000,10000,99000,40-49,No
9/29/2021 14:42:18,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,90000,9000,99000,40-49,No
9/29/2021 11:49:10,Yes,Deloitte,Commercial/non-federal Practice,Consultant/Associate,United States of America,91500,7500,99000,50-59,Yes
10/1/2021 8:58:52,Yes,Accenture,Commercial/non-federal Practice,Consultant/Associate,United States of America,94000,5000,99000,40-49,No
10/5/2021 19:07:41,Yes,Other or Boutique,Commercial/non-federal Practice,Manager,United States of America,95000,4000,99000,40-49,No
9/29/2021 15:18:17,Yes,Other or Boutique,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,90000,9000,99000,50-59,No
9/29/2021 22:11:03,Yes,Other or Boutique,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,94000,5000,99000,40-49,No
10/6/2021 7:35:51,Yes,Deloitte,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,97000,2000,99000,40-49,No
9/29/2021 11:33:04,Yes,EY,Not Applicable or Don't Know,Senior Consultant/Senior Associate,United States of America,92400,7200,99600,40-49,No
9/29/2021 12:12:54,Yes,Deloitte,Commercial/non-federal Practice,Consultant/Associate,United States of America,89800,10000,99800,60-69,Yes
9/30/2021 1:42:51,Yes,Accenture,Federal/government Practice,Consultant/Associate,United States of America,99000,900,99900,40-49,No
10/5/2021 11:59:34,No,,,,United States of America,96900,3000,99900,50-59,Yes
9/29/2021 20:33:00,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,83000,17000,100000,50-59,No
9/30/2021 14:12:43,Yes,Accenture,Commercial/non-federal Practice,Analyst,United States of America,87000,13000,100000,40-49,No
9/29/2021 11:50:45,Yes,Accenture,Commercial/non-federal Practice,Analyst,United States of America,90000,10000,100000,50-59,No
9/29/2021 20:32:09,Yes,PwC,Commercial/non-federal Practice,Analyst,United States of America,90000,10000,100000,60-69,No
10/6/2021 1:12:26,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,100000,0,100000,40-49,No
10/5/2021 9:55:32,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,90000,10000,100000,50-59,No
10/5/2021 21:33:07,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,91000,9000,100000,40-49,No
10/1/2021 13:30:34,Yes,Accenture,Commercial/non-federal Practice,Consultant/Associate,United States of America,94000,6000,100000,50-59,No
9/30/2021 9:55:52,Yes,Booz Allen Hamilton,Federal/government Practice,Consultant/Associate,United States of America,100000,0,100000,40-49,No
9/30/2021 15:47:30,Yes,Other or Boutique,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,82000,18000,100000,40-49,Yes
9/30/2021 1:45:57,No,,,,United States of America,90000,10000,100000,50-59,No
9/29/2021 23:01:10,Yes,Protiviti,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,91000,9100,100100,40-49,No
9/29/2021 11:59:22,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,90000,10500,100500,50-59,No
9/30/2021 16:50:37,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,90000,10500,100500,40-49,No
10/1/2021 10:16:12,Yes,Other or Boutique,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,99000,1500,100500,40-49,No
9/29/2021 10:39:45,No,,,,United States of America,88000,12500,100500,50-59,Yes
9/30/2021 11:23:57,Yes,Deloitte,Commercial/non-federal Practice,Consultant/Associate,United States of America,90200,10500,100700,40-49,No
10/5/2021 11:30:42,No,,,,United States of America,100000,800,100800,<40,No
9/29/2021 15:26:15,Yes,BCG,Commercial/non-federal Practice,Analyst,United States of America,95000,6000,101000,40-49,No
9/30/2021 8:39:42,Yes,Deloitte,Commercial/non-federal Practice,Consultant/Associate,United States of America,93000,8000,101000,50-59,No
9/30/2021 13:40:38,Yes,Deloitte,Commercial/non-federal Practice,Consultant/Associate,United States of America,95000,6000,101000,40-49,No
9/30/2021 18:09:48,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,95000,6000,101000,40-49,No
10/1/2021 18:46:13,Yes,Other or Boutique,Federal/government Practice,Consultant/Associate,United States of America,95000,6000,101000,50-59,No
9/30/2021 10:16:51,Yes,Accenture,Commercial/non-federal Practice,Consultant/Associate,United States of America,98000,3000,101000,40-49,No
9/29/2021 16:42:27,Yes,Other or Boutique,Commercial/non-federal Practice,Manager,United States of America,91000,10000,101000,40-49,No
10/1/2021 10:09:05,Yes,RSM,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,89000,12000,101000,40-49,No
9/29/2021 22:39:42,Yes,Deloitte,Federal/government Practice,Senior Consultant/Senior Associate,United States of America,93000,8000,101000,40-49,No
9/30/2021 15:58:35,Yes,Deloitte,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,95000,6000,101000,60-69,No
10/1/2021 21:13:19,Yes,Booz Allen Hamilton,Federal/government Practice,Consultant/Associate,United States of America,101300,0,101300,40-49,No
9/29/2021 10:38:24,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,85000,16500,101500,50-59,No
10/1/2021 9:53:22,Yes,Other or Boutique,Federal/government Practice,Consultant/Associate,United States of America,95000,6500,101500,40-49,Yes
9/29/2021 11:56:32,Yes,Other or Boutique,Federal/government Practice,Manager,United States of America,99500,2000,101500,40-49,No
9/30/2021 14:50:49,Yes,Deloitte,Commercial/non-federal Practice,Consultant/Associate,United States of America,92500,9250,101750,<40,No
9/29/2021 16:38:47,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,100000,2000,102000,50-59,No
9/29/2021 16:13:14,Yes,EY,Federal/government Practice,Consultant/Associate,United States of America,82000,20000,102000,60-69,No
9/29/2021 12:39:05,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,90000,12000,102000,50-59,No
9/29/2021 23:24:59,Yes,Other or Boutique,Not Applicable or Don't Know,Consultant/Associate,United States of America,90000,12000,102000,<40,No
9/29/2021 21:57:31,Yes,Deloitte,Commercial/non-federal Practice,Consultant/Associate,United States of America,95000,7000,102000,50-59,Yes
9/30/2021 16:33:55,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,95000,7000,102000,<40,Yes
